Lower tier local authorities Code,Lower tier local authorities,General health (3 categories) Code,General health (3 categories),Method used to travel to workplace (12 categories) Code,Method used to travel to workplace (12 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Hours worked (3 categories) Code,Hours worked (3 categories),Observation
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,11,Other method of travel to work,9,L15: Full-time students,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,-8,Does not apply,12,Not in employment or aged 15 years and under,9,L15: Full-time students,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,885
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,8815
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,1252
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,6417
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,958
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,2547
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,1018
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,1016
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,53
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,343
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,212
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,390
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,137
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,307
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,9,L15: Full-time students,1,Part-time: 30 hours or less worked,92
E06000036,Bracknell Forest,1,Good health,1,Work mainly at or from home,9,L15: Full-time students,2,Full-time: 31 or more hours worked,65
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,2
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,25
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,3
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,19
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,4
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,5
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,3
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,1
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,3
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",7,L13: Routine occupations,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",7,L13: Routine occupations,2,Full-time: 31 or more hours worked,4
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",9,L15: Full-time students,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,2,"Underground, metro, light rail, tram",9,L15: Full-time students,2,Full-time: 31 or more hours worked,1
E06000036,Bracknell Forest,1,Good health,3,Train,-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,3,Train,-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,3,Train,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,17
E06000036,Bracknell Forest,1,Good health,3,Train,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,152
E06000036,Bracknell Forest,1,Good health,3,Train,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,37
E06000036,Bracknell Forest,1,Good health,3,Train,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,247
E06000036,Bracknell Forest,1,Good health,3,Train,3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,18
E06000036,Bracknell Forest,1,Good health,3,Train,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,96
E06000036,Bracknell Forest,1,Good health,3,Train,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,19
E06000036,Bracknell Forest,1,Good health,3,Train,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,33
E06000036,Bracknell Forest,1,Good health,3,Train,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,6
E06000036,Bracknell Forest,1,Good health,3,Train,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,47
E06000036,Bracknell Forest,1,Good health,3,Train,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,51
E06000036,Bracknell Forest,1,Good health,3,Train,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,82
E06000036,Bracknell Forest,1,Good health,3,Train,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,27
E06000036,Bracknell Forest,1,Good health,3,Train,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,46
E06000036,Bracknell Forest,1,Good health,3,Train,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,3,Train,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,3,Train,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,3,Train,9,L15: Full-time students,1,Part-time: 30 hours or less worked,18
E06000036,Bracknell Forest,1,Good health,3,Train,9,L15: Full-time students,2,Full-time: 31 or more hours worked,4
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,22
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,24
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,71
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,25
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,43
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,13
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,12
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,14
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,16
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,92
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,90
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",7,L13: Routine occupations,1,Part-time: 30 hours or less worked,90
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",7,L13: Routine occupations,2,Full-time: 31 or more hours worked,67
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",9,L15: Full-time students,1,Part-time: 30 hours or less worked,36
E06000036,Bracknell Forest,1,Good health,4,"Bus, minibus or coach",9,L15: Full-time students,2,Full-time: 31 or more hours worked,6
E06000036,Bracknell Forest,1,Good health,5,Taxi,-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,8
E06000036,Bracknell Forest,1,Good health,5,Taxi,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1,Part-time: 30 hours or less worked,5
E06000036,Bracknell Forest,1,Good health,5,Taxi,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,Full-time: 31 or more hours worked,20
E06000036,Bracknell Forest,1,Good health,5,Taxi,3,L7: Intermediate occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,3,L7: Intermediate occupations,1,Part-time: 30 hours or less worked,4
E06000036,Bracknell Forest,1,Good health,5,Taxi,3,L7: Intermediate occupations,2,Full-time: 31 or more hours worked,13
E06000036,Bracknell Forest,1,Good health,5,Taxi,4,L8 and L9: Small employers and own account workers,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,4,L8 and L9: Small employers and own account workers,1,Part-time: 30 hours or less worked,17
E06000036,Bracknell Forest,1,Good health,5,Taxi,4,L8 and L9: Small employers and own account workers,2,Full-time: 31 or more hours worked,16
E06000036,Bracknell Forest,1,Good health,5,Taxi,5,L10 and L11: Lower supervisory and technical occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,5,L10 and L11: Lower supervisory and technical occupations,1,Part-time: 30 hours or less worked,2
E06000036,Bracknell Forest,1,Good health,5,Taxi,5,L10 and L11: Lower supervisory and technical occupations,2,Full-time: 31 or more hours worked,11
E06000036,Bracknell Forest,1,Good health,5,Taxi,6,L12: Semi-routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,6,L12: Semi-routine occupations,1,Part-time: 30 hours or less worked,22
E06000036,Bracknell Forest,1,Good health,5,Taxi,6,L12: Semi-routine occupations,2,Full-time: 31 or more hours worked,39
E06000036,Bracknell Forest,1,Good health,5,Taxi,7,L13: Routine occupations,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,7,L13: Routine occupations,1,Part-time: 30 hours or less worked,12
E06000036,Bracknell Forest,1,Good health,5,Taxi,7,L13: Routine occupations,2,Full-time: 31 or more hours worked,15
E06000036,Bracknell Forest,1,Good health,5,Taxi,8,L14.1 and L14.2: Never worked and long-term unemployed,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,8,L14.1 and L14.2: Never worked and long-term unemployed,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,8,L14.1 and L14.2: Never worked and long-term unemployed,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,9,L15: Full-time students,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,5,Taxi,9,L15: Full-time students,1,Part-time: 30 hours or less worked,3
E06000036,Bracknell Forest,1,Good health,5,Taxi,9,L15: Full-time students,2,Full-time: 31 or more hours worked,1
E06000036,Bracknell Forest,1,Good health,6,"Motorcycle, scooter or moped",-8,Does not apply,-8,Does not apply,0
E06000036,Bracknell Forest,1,Good health,6,"Motorcycle, scooter or moped",-8,Does not apply,1,Part-time: 30 hours or less worked,0
E06000036,Bracknell Forest,1,Good health,6,"Motorcycle, scooter or moped",-8,Does not apply,2,Full-time: 31 or more hours worked,0
E06000036,Bracknell Forest,1,Good health,6,"Motorcycle, scooter or moped",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",-8,Does not apply,0
